"subject","condition","cond_order","stage_order","withinStage_order","stage","frequency","duration","rating","adjustedDur","adjustedNum"
"29","NF072D0150",8,1,8,"N","72","150",-9,"Yes","Yes"
"29","ZF024D0150",9,2,1,"Z","24","150",-1,"Yes","No"
"29","ZF072D0150",10,2,2,"Z","72","150",-3,"Yes","Yes"
"29","ZF000D0450",11,2,3,"Z","0","0",-3,"No","No"
"29","ZF024D1350",12,2,4,"Z","24","1350",0,"Yes","No"
"29","ZF008D1350",13,2,5,"Z","8","1350",-1,"Yes","Yes"
"29","ZF024D0450",14,2,6,"Z","24","450",-1,"No","No"
"29","ZF008D0450",15,2,7,"Z","8","450",-1,"No","Yes"
"29","ZF072D0450",16,2,8,"Z","72","450",-2,"No","Yes"
"29","PF072D0150",17,3,1,"P","72","150",6,"Yes","Yes"
"29","PF008D1350",18,3,2,"P","8","1350",4,"Yes","Yes"
"29","PF024D0150",19,3,3,"P","24","150",4,"Yes","No"
"29","PF024D0450",20,3,4,"P","24","450",5,"No","No"
"29","PF024D1350",21,3,5,"P","24","1350",3,"Yes","No"
"29","PF008D0450",22,3,6,"P","8","450",3,"No","Yes"
"29","PF000D0450",23,3,7,"P","0","0",5,"No","No"
"29","PF072D0450",24,3,8,"P","72","450",6,"No","Yes"
"30","NF024D1350",1,1,1,"N","24","1350",-7,"Yes","No"
"30","NF024D0150",2,1,2,"N","24","150",-8,"Yes","No"
"30","NF008D0450",3,1,3,"N","8","450",-7,"No","Yes"
"30","NF072D0150",4,1,4,"N","72","150",5,"Yes","Yes"
"30","NF024D0450",5,1,5,"N","24","450",-2,"No","No"
"30","NF072D0450",6,1,6,"N","72","450",-5,"No","Yes"
"30","NF000D0450",7,1,7,"N","0","0",-8,"No","No"
"30","NF008D1350",8,1,8,"N","8","1350",-7,"Yes","Yes"
"30","ZF008D0450",9,2,1,"Z","8","450",7,"No","Yes"
"30","ZF008D1350",10,2,2,"Z","8","1350",7,"Yes","Yes"
"30","ZF024D0150",11,2,3,"Z","24","150",8,"Yes","No"
"30","ZF072D0450",12,2,4,"Z","72","450",9,"No","Yes"
"30","ZF072D0150",13,2,5,"Z","72","150",8,"Yes","Yes"
"30","ZF024D0450",14,2,6,"Z","24","450",6,"No","No"
"30","ZF000D0450",15,2,7,"Z","0","0",-4,"No","No"
"30","ZF024D1350",16,2,8,"Z","24","1350",0,"Yes","No"
"30","PF024D1350",17,3,1,"P","24","1350",8,"Yes","No"
"30","PF008D0450",18,3,2,"P","8","450",8,"No","Yes"
"30","PF024D0150",19,3,3,"P","24","150",6,"Yes","No"
