"subject","condition","cond_order","rating","frequency","duration","delay"
"11","JumboMoreDelay",8,8,"324","450","3"
"11","More",9,7,"108","450","0"
"11","LongerDelay",10,0,"36","1350","3"
"11","Longer",11,0,"36","1350","0"
"11","JumboLongDelay",12,1,"36","4050","3"
"12","More",1,3,"108","450","0"
"12","Baseline",2,6,"36","450","0"
"12","NoneDelay",3,7,"0","0","3"
"12","JumboMore",4,1,"324","450","0"
"12","MoreDelay",5,2,"108","450","3"
"12","None",6,7,"0","0","0"
"12","JumboLonger",7,2,"36","4050","0"
"12","LongerDelay",8,4,"36","1350","3"
"12","Longer",9,4,"36","1350","0"
"12","JumboLongDelay",10,3,"36","4050","3"
"12","JumboMoreDelay",11,1,"324","450","3"
"12","BaselineDelay",12,6,"36","450","3"
"13","BaselineDelay",1,3,"36","450","3"
"13","NoneDelay",2,7,"0","0","3"
"13","Baseline",3,4,"36","450","0"
"13","JumboLongDelay",4,-6,"36","4050","3"
"13","JumboMore",5,-2,"324","450","0"
"13","JumboLonger",6,1,"36","4050","0"
"13","Longer",7,2,"36","1350","0"
"13","JumboMoreDelay",8,-8,"324","450","3"
"13","More",9,-4,"108","450","0"
"13","LongerDelay",10,-4,"36","1350","3"
"13","MoreDelay",11,-3,"108","450","3"
"13","None",12,2,"0","0","0"
"14","LongerDelay",1,3,"36","1350","3"
"14","MoreDelay",2,-2,"108","450","3"
"14","JumboLonger",3,4,"36","4050","0"
"14","JumboLongDelay",4,1,"36","4050","3"
"14","JumboMoreDelay",5,8,"324","450","3"
"14","BaselineDelay",6,0,"36","450","3"
"14","None",7,-1,"0","0","0"
"14","JumboMore",8,-3,"324","450","0"
"14","More",9,1,"108","450","0"
"14","Baseline",10,-2,"36","450","0"
"14","Longer",11,-1,"36","1350","0"
"14","NoneDelay",12,4,"0","0","3"
"15","MoreDelay",1,5,"108","450","3"
"15","None",2,4,"0","0","0"
"15","BaselineDelay",3,2,"36","450","3"
"15","Longer",4,-5,"36","1350","0"
"15","JumboMore",5,6,"324","450","0"
"15","JumboLongDelay",6,2,"36","4050","3"
"15","JumboMoreDelay",7,3,"324","450","3"
"15","Baseline",8,-4,"36","450","0"
"15","More",9,7,"108","450","0"
"15","JumboLonger",10,2,"36","4050","0"
"15","NoneDelay",11,-3,"0","0","3"
"15","LongerDelay",12,-3,"36","1350","3"
"16","More",1,3,"108","450","0"
"16","BaselineDelay",2,8,"36","450","3"
"16","JumboLongDelay",3,-6,"36","4050","3"
"16","JumboMore",4,-6,"324","450","0"
"16","JumboLonger",5,1,"36","4050","0"
"16","JumboMoreDelay",6,2,"324","450","3"
"16","None",7,-2,"0","0","0"
"16","MoreDelay",8,0,"108","450","3"
"16","Longer",9,7,"36","1350","0"
"16","LongerDelay",10,7,"36","1350","3"
"16","NoneDelay",11,8,"0","0","3"
"16","Baseline",12,-3,"36","450","0"
"17","MoreDelay",1,2,"108","450","3"
"17","Longer",2,0,"36","1350","0"
"17","Baseline",3,-2,"36","450","0"
"17","More",4,-3,"108","450","0"
"17","JumboMoreDelay",5,-1,"324","450","3"
"17","LongerDelay",6,1,"36","1350","3"
"17","JumboLongDelay",7,3,"36","4050","3"
"17","None",8,5,"0","0","0"
"17","BaselineDelay",9,0,"36","450","3"
"17","JumboMore",10,-1,"324","450","0"
"17","NoneDelay",11,3,"0","0","3"
"17","JumboLonger",12,3,"36","4050","0"
"18","Baseline",1,3,"36","450","0"
"18","NoneDelay",2,-5,"0","0","3"
"18","MoreDelay",3,5,"108","450","3"
"18","JumboMoreDelay",4,7,"324","450","3"
"18","JumboLongDelay",5,1,"36","4050","3"
"18","LongerDelay",6,3,"36","1350","3"
"18","JumboMore",7,8,"324","450","0"
"18","BaselineDelay",8,1,"36","450","3"
"18","More",9,4,"108","450","0"
"18","Longer",10,-1,"36","1350","0"
"18","None",11,-2,"0","0","0"
"18","JumboLonger",12,0,"36","4050","0"
"19","Longer",1,6,"36","1350","0"
"19","JumboLongDelay",2,-2,"36","4050","3"
"19","JumboMore",3,9,"324","450","0"
"19","None",4,-6,"0","0","0"
"19","Baseline",5,0,"36","450","0"
"19","JumboMoreDelay",6,9,"324","450","3"
"19","NoneDelay",7,-4,"0","0","3"
"19","JumboLonger",8,4,"36","4050","0"
"19","LongerDelay",9,2,"36","1350","3"
"19","MoreDelay",10,5,"108","450","3"
"19","BaselineDelay",11,-2,"36","450","3"
"19","More",12,2,"108","450","0"
"20","JumboLonger",1,0,"36","4050","0"
"20","BaselineDelay",2,3,"36","450","3"
"20","JumboLongDelay",3,1,"36","4050","3"
"20","None",4,-7,"0","0","0"
"20","Longer",5,2,"36","1350","0"
"20","Baseline",6,1,"36","450","0"
"20","MoreDelay",7,7,"108","450","3"
"20","JumboMore",8,9,"324","450","0"
"20","LongerDelay",9,0,"36","1350","3"
"20","More",10,5,"108","450","0"
"20","JumboMoreDelay",11,9,"324","450","3"
"20","NoneDelay",12,-5,"0","0","3"
"21","More",1,8,"108","450","0"
"21","BaselineDelay",2,4,"36","450","3"
"21","NoneDelay",3,-5,"0","0","3"
"21","JumboLonger",4,7,"36","4050","0"
"21","MoreDelay",5,9,"108","450","3"
"21","JumboLongDelay",6,-4,"36","4050","3"
"21","JumboMore",7,10,"324","450","0"
"21","None",8,3,"0","0","0"
"21","JumboMoreDelay",9,10,"324","450","3"
"21","LongerDelay",10,4,"36","1350","3"
"21","Baseline",11,5,"36","450","0"
"21","Longer",12,3,"36","1350","0"
"22","JumboMoreDelay",1,-8,"324","450","3"
"22","JumboMore",2,-5,"324","450","0"
"22","More",3,7,"108","450","0"
"22","None",4,-7,"0","0","0"
"22","BaselineDelay",5,3,"36","450","3"
"22","JumboLongDelay",6,0,"36","4050","3"
"22","NoneDelay",7,-6,"0","0","3"
"22","Longer",8,6,"36","1350","0"
"22","LongerDelay",9,3,"36","1350","3"
"22","MoreDelay",10,5,"108","450","3"
"22","JumboLonger",11,-6,"36","4050","0"
"22","Baseline",12,0,"36","450","0"
"23","JumboMoreDelay",1,8,"324","450","3"
"23","None",2,-5,"0","0","0"
"23","Longer",3,2,"36","1350","0"
"23","BaselineDelay",4,0,"36","450","3"
"23","Baseline",5,-2,"36","450","0"
"23","LongerDelay",6,2,"36","1350","3"
"23","NoneDelay",7,-4,"0","0","3"
"23","JumboMore",8,9,"324","450","0"
"23","JumboLongDelay",9,3,"36","4050","3"
"23","MoreDelay",10,5,"108","450","3"
"23","JumboLonger",11,3,"36","4050","0"
"23","More",12,7,"108","450","0"
"24","Baseline",1,0,"36","450","0"
"24","LongerDelay",2,4,"36","1350","3"
"24","None",3,-5,"0","0","0"
"24","JumboLonger",4,4,"36","4050","0"
"24","BaselineDelay",5,4,"36","450","3"
"24","NoneDelay",6,-5,"0","0","3"
"24","JumboMore",7,9,"324","450","0"
"24","MoreDelay",8,7,"108","450","3"
"24","Longer",9,5,"36","1350","0"
"24","JumboMoreDelay",10,9,"324","450","3"
"24","JumboLongDelay",11,-2,"36","4050","3"
"24","More",12,6,"108","450","0"
"25","NoneDelay",1,-1,"0","0","3"
"25","More",2,2,"108","450","0"
"25","JumboLonger",3,5,"36","4050","0"
"25","MoreDelay",4,7,"108","450","3"
"25","Baseline",5,2,"36","450","0"
"25","None",6,-5,"0","0","0"
"25","BaselineDelay",7,0,"36","450","3"
"25","JumboMoreDelay",8,3,"324","450","3"
"25","JumboMore",9,4,"324","450","0"
"25","Longer",10,-2,"36","1350","0"
"25","JumboLongDelay",11,3,"36","4050","3"
"25","LongerDelay",12,4,"36","1350","3"
"26","JumboLongDelay",1,-2,"36","4050","3"
"26","None",2,-7,"0","0","0"
"26","MoreDelay",3,-2,"108","450","3"
