"subject","condition","cond_order","stage_order","withinStage_order","stage","frequency","rating"
"12","P072",7,2,3,"P","72",0
"12","P000",8,2,4,"P","0",1
"12","Z216",9,3,1,"Z","216",0
"12","Z000",10,3,2,"Z","0",-2
"12","Z072",11,3,3,"Z","72",-4
"12","Z024",12,3,4,"Z","24",-5
"13","N072",1,1,1,"N","72",-9
"13","N024",2,1,2,"N","24",-7
"13","N000",3,1,3,"N","0",-7
"13","N216",4,1,4,"N","216",-8
"13","Z024",5,2,1,"Z","24",2
"13","Z000",6,2,2,"Z","0",4
"13","Z072",7,2,3,"Z","72",3
"13","Z216",8,2,4,"Z","216",-2
"13","P216",9,3,1,"P","216",5
"13","P072",10,3,2,"P","72",6
"13","P000",11,3,3,"P","0",9
"13","P024",12,3,4,"P","24",9
"14","P000",1,1,1,"P","0",4
"14","P216",2,1,2,"P","216",9
"14","P072",3,1,3,"P","72",8
"14","P024",4,1,4,"P","24",7
"14","N000",5,2,1,"N","0",-9
"14","N024",6,2,2,"N","24",-3
"14","N072",7,2,3,"N","72",3
"14","N216",8,2,4,"N","216",5
"14","Z000",9,3,1,"Z","0",-4
"14","Z216",10,3,2,"Z","216",4
"14","Z072",11,3,3,"Z","72",5
"14","Z024",12,3,4,"Z","24",0
"15","N072",1,1,1,"N","72",-6
"15","N024",2,1,2,"N","24",-5
"15","N000",3,1,3,"N","0",-9
"15","N216",4,1,4,"N","216",-4
"15","Z024",5,2,1,"Z","24",5
"15","Z000",6,2,2,"Z","0",4
"15","Z072",7,2,3,"Z","72",6
"15","Z216",8,2,4,"Z","216",7
"15","P000",9,3,1,"P","0",9
"15","P072",10,3,2,"P","72",9
"15","P216",11,3,3,"P","216",9
"15","P024",12,3,4,"P","24",8
"16","N072",1,1,1,"N","72",3
"16","N216",2,1,2,"N","216",7
"16","N024",3,1,3,"N","24",-4
"16","N000",4,1,4,"N","0",-8
"16","Z024",5,2,1,"Z","24",1
"16","Z000",6,2,2,"Z","0",0
"16","Z216",7,2,3,"Z","216",8
"16","Z072",8,2,4,"Z","72",2
"16","P024",9,3,1,"P","24",3
"16","P072",10,3,2,"P","72",2
"16","P216",11,3,3,"P","216",8
"16","P000",12,3,4,"P","0",3
"17","P000",1,1,1,"P","0",8
"17","P072",2,1,2,"P","72",9
"17","P216",3,1,3,"P","216",10
"17","P024",4,1,4,"P","24",8
"17","Z216",5,2,1,"Z","216",8
"17","Z024",6,2,2,"Z","24",-1
"17","Z072",7,2,3,"Z","72",5
"17","Z000",8,2,4,"Z","0",-7
"17","N024",9,3,1,"N","24",-7
"17","N216",10,3,2,"N","216",8
"17","N072",11,3,3,"N","72",1
"17","N000",12,3,4,"N","0",-9
"18","Z024",1,1,1,"Z","24",4
"18","Z072",2,1,2,"Z","72",-2
"18","Z000",3,1,3,"Z","0",-4
"18","Z216",4,1,4,"Z","216",-1
"18","N216",5,2,1,"N","216",-5
"18","N000",6,2,2,"N","0",-8
"18","N024",7,2,3,"N","24",-5
"18","N072",8,2,4,"N","72",-3
"18","P072",9,3,1,"P","72",3
"18","P000",10,3,2,"P","0",7
"18","P216",11,3,3,"P","216",3
"18","P024",12,3,4,"P","24",2
"19","P024",1,1,1,"P","24",5
"19","P000",2,1,2,"P","0",4
"19","P072",3,1,3,"P","72",3
"19","P216",4,1,4,"P","216",2
"19","Z072",5,2,1,"Z","72",-4
"19","Z000",6,2,2,"Z","0",-3
"19","Z216",7,2,3,"Z","216",2
"19","Z024",8,2,4,"Z","24",-3
"19","N000",9,3,1,"N","0",-6
"19","N024",10,3,2,"N","24",-8
"19","N072",11,3,3,"N","72",-3
"19","N216",12,3,4,"N","216",-7
"20","P024",1,1,1,"P","24",6
"20","P216",2,1,2,"P","216",7
"20","P072",3,1,3,"P","72",5
"20","P000",4,1,4,"P","0",6
"20","Z216",5,2,1,"Z","216",4
"20","Z024",6,2,2,"Z","24",4
"20","Z000",7,2,3,"Z","0",3
"20","Z072",8,2,4,"Z","72",3
"20","N000",9,3,1,"N","0",-8
"20","N072",10,3,2,"N","72",-9
"20","N216",11,3,3,"N","216",-8
"20","N024",12,3,4,"N","24",-9
"21","P000",1,1,1,"P","0",6
"21","P024",2,1,2,"P","24",5
"21","P072",3,1,3,"P","72",4
"21","P216",4,1,4,"P","216",8
"21","N216",5,2,1,"N","216",-7
"21","N024",6,2,2,"N","24",-9
"21","N072",7,2,3,"N","72",-9
"21","N000",8,2,4,"N","0",-10
"21","Z024",9,3,1,"Z","24",-3
"21","Z072",10,3,2,"Z","72",3
"21","Z216",11,3,3,"Z","216",0
"21","Z000",12,3,4,"Z","0",-2
"22","N216",1,1,1,"N","216",7
"22","N072",2,1,2,"N","72",1
"22","N000",3,1,3,"N","0",-9
"22","N024",4,1,4,"N","24",-6
"22","P216",5,2,1,"P","216",8
"22","P072",6,2,2,"P","72",5
"22","P000",7,2,3,"P","0",4
"22","P024",8,2,4,"P","24",4
"22","Z072",9,3,1,"Z","72",3
"22","Z024",10,3,2,"Z","24",-2
"22","Z000",11,3,3,"Z","0",-3
"22","Z216",12,3,4,"Z","216",7
"23","N216",1,1,1,"N","216",7
"23","N000",2,1,2,"N","0",-5
"23","N024",3,1,3,"N","24",-7
"23","N072",4,1,4,"N","72",-4
"23","Z000",5,2,1,"Z","0",0
"23","Z216",6,2,2,"Z","216",7
"23","Z024",7,2,3,"Z","24",3
"23","Z072",8,2,4,"Z","72",9
"23","P216",9,3,1,"P","216",7
"23","P072",10,3,2,"P","72",5
"23","P024",11,3,3,"P","24",5
